,sentiments,user,tweet,hashtag,player
2530,POSITIVE,BaileeShotzkot,"First impressions: Frank, YASSS!Chill and going@to be fun to watch #TheCircleNetflix #THECIRCLE","['TheCircleNetflix', 'THECIRCLE']",set()
2531,NEGATIVE,BaileeShotzkot,"First impressions: Alyssa, trying too hard please send better options. Franks the winner so far  #TheCircleNetflix #THECIRCLE","['TheCircleNetflix', 'THECIRCLE']",set()
2532,NEGATIVE,BaileeShotzkot,First impressions: Carol’s profile screams catfish  #TheCircleNetflix #THECIRCLE,"['TheCircleNetflix', 'THECIRCLE']",set()
2533,NEGATIVE,BaileeShotzkot,"First impressions: Yu Ling, sucks! She’s not funny she’s actually a terrible person. Trying so hard to look like she isn’t trying. Please send her home #TheCircleNetflix #THECIRCLE","['TheCircleNetflix', 'THECIRCLE']",{'playertwo'}
2534,NEGATIVE,BFBSRadioHQ,"Cpl @NatalyaPlatono will complete the walk with a medicine ball to signify the ""invisible burden"" of mental health. 💪

You may know her from winning Season 3 of #TheCircle ⭕ on the telly! 📺

Learn more here 👉 https://t.co/LHXnCv5iRZ

#MentalHealthAwarenessWeek https://t.co/LnGkB5kkPe","['TheCircle', 'MentalHealthAwarenessWeek']",set()
2535,NEGATIVE,emkt06,Nathan/Alex straight up messaging ‘what is a Spice Girl’ to the LITERAL Scary Spice and Baby Spice has ended me 😂😂😂 this season is a 10/10 #THECIRCLE #TheCircleNetflix,"['THECIRCLE', 'TheCircleNetflix']",{'playereight'}
2536,POSITIVE,mismatchedmich,omg I loooooove Alyssa #thecircle #thecircleseason4,"['thecircle', 'thecircleseason4']",{'playerf'}
2537,POSITIVE,AMarya86,"Quotes of the Week: #StarTrek, #TheFlash, #TheCircle, #Girls5eva, #Survivor and More #TvLine #SerialUpdate https://t.co/8uFwTvGPpj","['StarTrek', 'TheFlash', 'TheCircle', 'Girls5eva', 'Survivor', 'TvLine', 'SerialUpdate']",set()
2538,NEGATIVE,PerfectlyFlawed,OMG freaking Baby Spice and Scary Spice on #TheCircle!!!! My first loves! I'm fan girling so hard!! https://t.co/lBGk5GTAcH,['TheCircle'],{'playereight'}
2539,NEGATIVE,sheddyonair,#thecircle what a movie...just how extreme social media can get,['thecircle'],set()
2540,POSITIVE,DAYDMC,Yu Ling and Josh are my favorites already #TheCircle,['TheCircle'],{'playertwo'}
2541,POSITIVE,kikilongbottom,"Spice girls, so random, loving it #thecircle",['thecircle'],{'playereight'}
2542,NEGATIVE,TheDashMediaa,"The Drama BTS: Netflix’s “The Circle” Season 4 Part 1 Review
 #TheCircleNetflix #TheCircle #thecircleseason4 https://t.co/9ZWNojbD4h","['TheCircleNetflix', 'TheCircle', 'thecircleseason4']",set()
2543,POSITIVE,Self_Made_Mac,They got #melb on #thecircleseason4 #THECIRCLE. They really went crazy this season 🔥,"['melb', 'thecircleseason4', 'THECIRCLE']",set()
2544,POSITIVE,_thelindsayerin,crissa on #thecircle is fine. 🥹,['thecircle'],{'playerthr'}
2545,NEGATIVE,Alexxandreaa_,"@Netflix really said “FUCK everyone is leaving what do we do!?” And they really brought two Spice Girls to #TheCircle 😂😂😂 I’m not mad.
#StillwantThat70sShowdoe..","['TheCircle', 'StillwantThat70sShowdoe']",{'playereight'}
2546,NEGATIVE,TheDashMediaa,THE GAME IS ON: ANY RACIST? Netflix’s “The Circle” Season 4 First Impressions #TheCircle4 #TheCircle #TheCircleNetflix #thecircleseason4 https://t.co/85V94F6VJU,"['TheCircle4', 'TheCircle', 'TheCircleNetflix', 'thecircleseason4']",set()
2547,NEGATIVE,MaRcosStOcHe,"Jared sendo duas Spice Girls uauuuu
#THECIRCLE",['THECIRCLE'],{'playereight'}
2548,NEGATIVE,MMediMedia,Netflix’s “The Circle” Season 2 Winner DeLeesa Throws Shade At Terilisha Over Speaking About Trevor #TheCircleNetflix #TheCircle #thecircleseason4 #TheCircle4 https://t.co/PaY4Mah7k9,"['TheCircleNetflix', 'TheCircle', 'thecircleseason4', 'TheCircle4']",set()
2549,POSITIVE,aicpov,yu ling better win this thing #THECIRCLE,['THECIRCLE'],{'playertwo'}
2550,POSITIVE,Louisiana_Cat,"I think it’s funny that neither Crissa nor Parker knew who Rod Stewart is nor what a memoir is. At least, they pronounced memoir correctly. 😂🤷🏻‍♀️
#TheCircle #TheCircle4 
#TheCircleNetflix https://t.co/88QZumrmrN","['TheCircle', 'TheCircle4', 'TheCircleNetflix']",{'playerthr'}
2551,POSITIVE,Louisiana_Cat,"@Treasur86279282 Yes, Bru is hot, nice, and funny too. 
I agree with you on catfish Alex, AKA “Nathan.”  I wasn’t feeling him, but maybe after learning more about him, I may feel differently. 
#TheCircle #TheCircleNetflix 
#TheCircle4 https://t.co/dfb9qhhqFU","['TheCircle', 'TheCircleNetflix', 'TheCircle4']",{'playersix'}
2552,NEGATIVE,Louisiana_Cat,"@MandyHagy Bru was playing himself, so I don’t think he cared if anyone knew. Because of his following, he expected that some people would know. He put in his bio that he’s a radio host in LA. 
#TheCircle #TheCircleNetflix 
#TheCircle4 https://t.co/G1FMkC9HVg","['TheCircle', 'TheCircleNetflix', 'TheCircle4']",{'playersix'}
2553,NEGATIVE,TerrezanosGirl,The #SpiceGirls trivia on #TheCircle is hurting my soul. https://t.co/WDZTmygziW,"['SpiceGirls', 'TheCircle']",set()
2554,NEGATIVE,Rolils99,Wait Parker is a communications major and she doesn't know what a memoir is?? #THECIRCLE #TheCircleNetflix https://t.co/HHbooJEYbT,"['THECIRCLE', 'TheCircleNetflix']",set()
2555,NEGATIVE,OliviaFrescura,The person I hate most on #TheCircle getting blocked first 🥰💞,['TheCircle'],set()
2556,NEGATIVE,shellyshindig_,I don’t like how Netflix is only releasing 4 episodes at a time of #THECIRCLE,['THECIRCLE'],set()
2557,NEGATIVE,Endl3ssNit3s,#THECIRCLE is the new Vagina Monologues https://t.co/Tuk77EElLP,['THECIRCLE'],set()
2558,NEGATIVE,Gwen_Dances,Episode 4 could’ve been an email. #TheCircleNetflix #TheCircle,"['TheCircleNetflix', 'TheCircle']",set()
2559,NEGATIVE,AdoreMy_Essence,What is a marriage therapist doing at fashion week?? #THECIRCLE #TheCircleNetflix,"['THECIRCLE', 'TheCircleNetflix']",set()
2560,NEGATIVE,Gibby_Smallz,"Anyone else watching #TheCircle on Netflix? I just got done with watching episode 4 of Season 4 and I had anxiety the whole time 😂 I can’t wait to see what happens next.

#TheCircle4 #anxietyovertheroof https://t.co/g6BXqO6gVW","['TheCircle', 'TheCircle4', 'anxietyovertheroof']",set()
2561,POSITIVE,afro_rriquena,Finally watching #thecircle. I want my room designed like these people,['thecircle'],set()
2562,NEGATIVE,eclarim_,THE SPICE GIRLS?!?!?!?!?!?!?! ARE YOU SHITTING ME??????  #TheCircle,['TheCircle'],{'playereight'}
2563,NEGATIVE,iamjudgingyou21,I need to take a handful of Prozac before I can get thru season 4 episode 1 of #THECIRCLE https://t.co/WcnxtLPtKW,['THECIRCLE'],set()
2564,NEGATIVE,AdoreMy_Essence,"Why would a 50 yr old not know what a memoir is? Come on girl, you gave yourself away. #THECIRCLE #TheCircleNetflix","['THECIRCLE', 'TheCircleNetflix']",set()
2565,NEGATIVE,CheDeLuxxe,Awwww they got scary and baby spice on the mfn circle and they are catfishes  #TheCircle #Season4,"['TheCircle', 'Season4']",{'playereight'}
2566,POSITIVE,WineOhhhh,"Thus far, my favorite is Yu Ling. S4E4 #TheCircleNetflix #TheCircle https://t.co/zxVWUSywMr","['TheCircleNetflix', 'TheCircle']",{'playertwo'}
2567,POSITIVE,ChatTheMan,"Frank has the best energy out of everyone so far. My current no. 1 pick. The dude playing the college frat boy is trying too hard to be young and should be scoped out soon, and I’m surprised “Carol’s” target isn’t bigger given that Parker fucked him over lmao #THECIRCLE",['THECIRCLE'],{'playeron'}
2568,NEGATIVE,eclarim_,This girl trying to convince people she’s her dad is literally digging herself into a deeper hole. I have second hand embarrassment. 😂 #TheCircle,['TheCircle'],{'playereight'}
2569,NEGATIVE,ComradeJudiee,I can't wait til may 11th for new episodes of #THECIRCLE 😩😩 I NEED to know what happens,['THECIRCLE'],set()
2570,POSITIVE,officialmissabs,THE SPICE GIRLS!!? #THECIRCLE,['THECIRCLE'],{'playereight'}
2571,NEGATIVE,iamezekielb,"This new season not giving…but idk, let me get passed this first episode😬 #thecircle",['thecircle'],set()
2572,POSITIVE,eclarim_,"I'm watching #TheCircle and why am I immediately against ""Carol"" lmaooo I want that man to go home. I'm 20 minutes in and I'm already ready for his time to be over. Anyways I like everyone else lol",['TheCircle'],set()
2573,NEGATIVE,Lil_Bean_Kate,"""You try to get to know some people, next thing you know, you're in a three way relationship"" 😂😂😂
#THECIRCLE https://t.co/TcFM9LTjt8",['THECIRCLE'],set()
2574,POSITIVE,AdoreMy_Essence,I didn’t know that this was an actual hairstyle before Nicki. So cool. #YuLing #THECIRCLE #TheCircleNetflix https://t.co/QVVDbCmyFa,"['YuLing', 'THECIRCLE', 'TheCircleNetflix']",set()
2575,NEGATIVE,MandaLou52,Well. I don’t care about anything else but The Spice Girls (and all their music the show is playing) on #THECIRCLE 🤷🏼‍♀️🤷🏼‍♀️,['THECIRCLE'],{'playereight'}
2576,NEGATIVE,pot_hto,My shrill when I saw Baby and Scary Spice #THECIRCLE #SpiceGirls #Netflix #NetflixTheCircle https://t.co/1YD3MU94Hk,"['THECIRCLE', 'SpiceGirls', 'Netflix', 'NetflixTheCircle']",{'playereight'}
2577,NEGATIVE,timchrisman,"#THECIRCLE fucking sucks now lmao

Literally everyone is just a social media influencer now, how boring can you possibly be",['THECIRCLE'],set()
2578,POSITIVE,NotCVFriendly,IM LIVING for Baby and Scary spice being on #TheCircle,['TheCircle'],{'playereight'}
2579,NEGATIVE,Joppsicle,I’m sorry but wtf is going on with this season of #thecircle……. If they don’t move on from this spice girls thing I’m not finishing the season lmao and this is one of my fav shows,['thecircle'],{'playereight'}
2580,NEGATIVE,Bladepfeifer_,@OfficialMelB Has me dying on #TheCircle lmaooo so glad she’s on this season 🤣,['TheCircle'],set()
2581,NEGATIVE,SanteSanteSante,I didn’t know they started a new season of #THECIRCLE,['THECIRCLE'],set()
2582,NEGATIVE,JessicaNFrey,When you spy Trevor in #theCircle previews https://t.co/PPALcKXEFK,['theCircle'],set()
2583,NEGATIVE,Lil_Bean_Kate,"Why errrbody an influencer this season?? Yall run out of regular people or something?! Q😒😒
#THECIRCLE https://t.co/5dZhRMkUbK",['THECIRCLE'],set()
2584,NEGATIVE,_christabelley,"Bru updating his profile is literally me trying to write a tweet, text or email 🥴 
#TheCircleUSA #TheCircle","['TheCircleUSA', 'TheCircle']",{'playersix'}
2585,NEGATIVE,thisissaave,"Oh, I love naked king dare!🥰 - @OfficialMelB. @spicegirls #THECIRCLE #TheCircleNetflix #MelB #ScarySpice. https://t.co/35DA2BJyAO","['THECIRCLE', 'TheCircleNetflix', 'MelB', 'ScarySpice']",set()
2586,NEGATIVE,BlueJackAttack,"I feel like if I was casted on #TheCircle, it would just be a montage of me napping all the time. #thecircleseason4 #Netflix","['TheCircle', 'thecircleseason4', 'Netflix']",set()
2587,NEGATIVE,m00dyheart,THE SPICE GIRLS? #thecircle https://t.co/Zktm1VpmrM,['thecircle'],{'playereight'}
2588,NEGATIVE,UahynesAngela,Yu Ling eating Hot Fries with chopsticks is literally EVERYTHING 😍😍 #TheCircleNetflix #THECIRCLE,"['TheCircleNetflix', 'THECIRCLE']",{'playertwo'}
2589,NEGATIVE,QueerFemNisha,"The SCREAM I SCRUM when Baby and Scary Spice walked down that hallway in The Circle!!!! 

#SpiceGirl #TheCircle","['SpiceGirl', 'TheCircle']",{'playereight'}
2590,POSITIVE,AquanxD,Who is the funniest person on the circle and why is it Yu Ling🤣#THECIRCLE #TheCircleNetflix #thecircleseason4 https://t.co/WGNCM8DHoD,"['THECIRCLE', 'TheCircleNetflix', 'thecircleseason4']",{'playertwo'}
2591,NEGATIVE,jescantello319,So there really are adults out there who don't know what a memoir is or who Rod Stewart is... #thecircle https://t.co/DfpWd8jnIZ,['thecircle'],set()
2592,POSITIVE,nigglysaurus,#TheCircle is so good this season!,['TheCircle'],set()
2593,NEGATIVE,JerJer1990,Alyssa got saved and then she proceeds to talk shit. 🥴🤣 #TheCircle #thecircleseason4,"['TheCircle', 'thecircleseason4']",{'playerf'}
2594,NEGATIVE,casmalue,Not Alyssa unknowingly flirting with the Spice Girls lol #TheCircle,['TheCircle'],"{'playerf', 'playereight'}"
2595,NEGATIVE,ickybooley,"there was literally a guy on the first season of #TheCircle named Alex who was a catfish and looked QUITE similar to this new Alex, and they DIDN'T make new Alex play as himself in hopes that someone would think he was old Alex? 🥴",['TheCircle'],{'playerten'}
2596,NEGATIVE,JerJer1990,Parker's message got Carol caught in the crossfire. #TheCircle https://t.co/wgyy0z0SMk,['TheCircle'],{'playerfour'}
2597,NEGATIVE,writer0076,Parker doesn’t know what a memoir is and doesn’t know Rod Stewart. #TheCircle https://t.co/lq3t4rnOt1,['TheCircle'],set()
2598,POSITIVE,Brittbakee22,Honestly this season 4 cast of #THECIRCLE is the best one yet,['THECIRCLE'],set()
2599,NEGATIVE,WillStrickland2,"They’ve been casting some bums for #TheCircle last two seasons, promise y’all I’ll get the vibes back on track once I’m casted for season 14",['TheCircle'],set()
2600,NEGATIVE,sarahbrown822,I get sucked into #TheCircle. I WANT TO PLAY!! #TheCircleNetflix,"['TheCircle', 'TheCircleNetflix']",set()
2601,NEGATIVE,QViolet_97,THE SPICE GIRLS??? #TheCircle,['TheCircle'],{'playereight'}
2602,POSITIVE,QViolet_97,They get to pick which new person joins? That's fun #TheCircle,['TheCircle'],set()
2603,NEGATIVE,pjmslust,began watching the newest season of the circle thinking it was out but nope 🤕have to wait till wednesday for the fifth ep #TheCircle,['TheCircle'],set()
2604,NEGATIVE,pjmslust,THE SPICE GIRLS BEING ON THE CIRCLE IS SUCH A MIND BOGGLING THING OH WOWWW #TheCircle,['TheCircle'],{'playereight'}
2605,NEGATIVE,missninabina,Why wouldn’t a man be able to bake or decorate...? #TheCircle,['TheCircle'],set()
2606,NEGATIVE,JessicaNFrey,"“If I had to take a shot in the dark” - @AWildBriz 

The survivor reference has spoken obviously 😂😂😂

#theCircle",['theCircle'],set()
2607,NEGATIVE,AquanxD,John/Carol having to pretend that Parker’s/Paul game didn’t suck Lmaoo #THECIRCLE #TheCircleNetflix #thecircleseason4 https://t.co/F2Tph6cqML,"['THECIRCLE', 'TheCircleNetflix', 'thecircleseason4']",{'playerfour'}
2608,NEGATIVE,QViolet_97,I am hysterical over 'Carol' in this first girls chat. Incredible 🤣🤣🤣#TheCircle,['TheCircle'],set()
2609,POSITIVE,ALMinshall,And Cookie! #TheCircle,['TheCircle'],set()
2610,POSITIVE,corrinnn,it will never not bother me that they use hashtags in #TheCircle.,['TheCircle'],set()
2611,POSITIVE,MsDani_M,Mel B and Emma on #TheCircle is just making me so happy lol,['TheCircle'],{'playereight'}
2612,NEGATIVE,QViolet_97,Why would you rate Paul 3rd??? That's so high he's a walking red flag #TheCircle,['TheCircle'],{'playerseven'}
2613,NEGATIVE,nhIdebrincat,How does this bitch not know who rod stewart is #thecircle,['thecircle'],set()
2614,NEGATIVE,ickybooley,"ngl, I fully thought there was a 0% chance that #TheCircle’s Spice Girls tease was going to be real 🤯",['TheCircle'],{'playereight'}
2615,POSITIVE,stefitabonitaa,I'm curious how Alyssa felt watching #TheCircle &amp; seeing the freaking SPICE GIRLS making fun of her 😭😭,['TheCircle'],"{'playerf', 'playereight'}"
2616,NEGATIVE,QViolet_97,There is no way she isnt the first one out lmao #TheCircle,['TheCircle'],set()
2617,NEGATIVE,1morevice,"Stuff I watched this week… 🧵

The Circle, S4E1-4: Let’s be Frank, I wouldn’t want to talk to a parent in the Circle. What the f is with the Spice Girls. That’s not even what their apartment would look like. 😑 WHAT WOULD MY APARTMENT LOOK LIKE?! I like Frank’s. #TheCircle https://t.co/qHB911dZk9",['TheCircle'],{'playereight'}
2618,NEGATIVE,QViolet_97,"God she thinks that didn't expose her, like you could have given an answer that wouldn't be sus using context clues from the other answers but i really dont think shes smart enought for the lmao #TheCircle",['TheCircle'],set()
2619,NEGATIVE,QViolet_97,Parker! You're playing an old man! The kind of people who know what memoir means! Making it so obvious!!!!! #TheCircle,['TheCircle'],set()
2620,NEGATIVE,QViolet_97,"Oh noooooo, two of them don't know 🤣🤣 #TheCircle",['TheCircle'],set()
2621,POSITIVE,ALMinshall,SPICE GIRLS! #TheCircle,['TheCircle'],{'playereight'}
2622,POSITIVE,Callmefi_,"Lmfaooooooooooo I absolutely love Crissa, Frank, Yu Ling &amp; Alyssa 😂😂😂 #THECIRCLE",['THECIRCLE'],"{'playertwo', 'playerf'}"
2623,NEGATIVE,QViolet_97,This bitch doesn't know what a memoir is😂#TheCircle,['TheCircle'],set()
2624,NEGATIVE,AquanxD,Carol and Paul’s cakes exposed them as catfish🤣 #THECIRCLE #TheCircleNetflix #thecircleseason4,"['THECIRCLE', 'TheCircleNetflix', 'thecircleseason4']",{'playerfour'}
2625,NEGATIVE,QViolet_97,"Interesting that we've got two people playing their own parents, I have a feeling Parker is gonna come of as more obviously not authentic #TheCircle",['TheCircle'],set()
2626,POSITIVE,Janelle_No_5,Yu Ling wake up and get fly everyday #TheCircle,['TheCircle'],{'playertwo'}
2627,NEGATIVE,scarletk19,"Lol. Not another yt woman being threatened by a black woman on the circle for no reason. Not again ✋🏽
#thecircleseason4 #THECIRCLE #TheCircleNetflix https://t.co/RLIKA4aiB7","['thecircleseason4', 'THECIRCLE', 'TheCircleNetflix']",set()
2628,POSITIVE,vengosinfiltro,Las spice girls en #thecircle es everything I didn’t know I needed 😂😂,['thecircle'],{'playereight'}
2629,NEGATIVE,sebtalksalot,"“Calm down, spice girl. You have too much sugar?” is my new favorite insult. #THECIRCLE",['THECIRCLE'],{'playereight'}
2630,POSITIVE,JomiAdeniran,"🗣 WE’RE DOING A PODCAST 

@TheJodiWalker and I are podding about this season of #TheCircle and you can listen to us recap the first four episodes RIGHT NOW! 

Circle, open circle chat. https://t.co/OCKUtz7OIk https://t.co/tKF4RAteHj",['TheCircle'],set()
2631,POSITIVE,QViolet_97,"Finally starting the new season of #TheCircle, interesting that they get two photos right away this time instead of just one",['TheCircle'],set()
2632,POSITIVE,stefitabonitaa,I am loving this season's players! They're all so funny lol #TheCircle,['TheCircle'],set()
2633,NEGATIVE,AquanxD,The Spice Girls 🥺❤️#THECIRCLE #TheCircleNetflix #thecircleseason4 https://t.co/H0FZNOC1IA,"['THECIRCLE', 'TheCircleNetflix', 'thecircleseason4']",{'playereight'}
2634,NEGATIVE,jeniece_s,Isabella’s obsession with Kai is creepy…. #TheCircle,['TheCircle'],set()
2635,NEGATIVE,WickedBitter,"In order to qualify to be on #TheCircle you need to say ""vibes"" and ""energy"" every other sentence. 

#vibes #energy #netflix","['TheCircle', 'vibes', 'energy', 'netflix']",set()
2636,POSITIVE,AquanxD,"Frank, Bru and Yu Ling are my faves so far. #THECIRCLE #TheCircleNetflix #thecircleseason4","['THECIRCLE', 'TheCircleNetflix', 'thecircleseason4']","{'playertwo', 'playersix'}"
2637,POSITIVE,AquanxD,So far I love everyone except Paul’s daughter. She’s vapid and definitely going home first😭#THECIRCLE #TheCircleNetflix,"['THECIRCLE', 'TheCircleNetflix']",set()
2638,NEGATIVE,_VEroNIca08,EXCUSE ME I’M FAN GIRLING MY TWO FAV SPICE GIRLS RIGHT NOW!!!! #TheCircle https://t.co/fMjmrtLyXo,['TheCircle'],{'playereight'}
2639,NEGATIVE,sarahbutwithanh,Parker from #TheCircle just ruined her entire game by admitting she doesn’t know what a memoir is. #fail #TheCircleNetflix,"['TheCircle', 'fail', 'TheCircleNetflix']",set()
2640,POSITIVE,natcat_1025,Spice Up Your Fucking Life #TheCircle,['TheCircle'],{'playereight'}
2641,NEGATIVE,Callmefi_,Lemme see what #THECIRCLE is on this seasonnnnnnn,['THECIRCLE'],set()
2642,NEGATIVE,stanningtif,Wtffff the spice girls in #thecircle,['thecircle'],{'playereight'}
2643,NEGATIVE,MMediMedia,Netflix’s “The Circle” Season 2 Winner DeLeesa Throws Shade At Terilisha Over Speaking About Trevor #TheCircleNetflix #TheCircle #thecircleseason4 #TheCircle4 !  https://t.co/PaY4Mayam9,"['TheCircleNetflix', 'TheCircle', 'thecircleseason4', 'TheCircle4']",set()
2644,POSITIVE,itsnae_bitxh,Watching #TheCircle ⭕️ makes me wanna watch the Spice girls movie!! I haven’t stopped screaming since they came on my screeeen,['TheCircle'],{'playereight'}
2645,NEGATIVE,ImMicaylaB,SPICE GIRLS?!  I scream. 😍🥹😭 #thecircle,['thecircle'],{'playereight'}
2646,NEGATIVE,rara379,I fucking love Rachel’s intro of herself #thecircleseason4 #THECIRCLE,"['thecircleseason4', 'THECIRCLE']",set()
2647,POSITIVE,0223em,thank god baby spice and scary spice are on #TheCircle,['TheCircle'],{'playereight'}
2648,POSITIVE,trishaddayal,I started #TheCircle S4 and I’m screaming at the BIG SURPRISE VIPS! 😍😍😍,['TheCircle'],set()
2649,POSITIVE,sweetfacedinero,Their reactions to Mel B and Emma was priceless 😂😂😂 #TheCircle,['TheCircle'],{'playereight'}
2650,NEGATIVE,QuanaDumbFresh,see i was cool with not being picked for this season until i saw  The Cartoon Character with the Witch Oil. She is playing a whole prepackaged character. next caller #TheCircleNetflix #thecircleseason4 #TheCircle https://t.co/V60cF2V7ec,"['TheCircleNetflix', 'thecircleseason4', 'TheCircle']",set()
2651,POSITIVE,thelindatron,Season 4 of #THECIRCLE is spicy! ✌🏻🇬🇧 😃,['THECIRCLE'],set()
2652,POSITIVE,MatthewRimmer,The two very famous celebrities [names redacted] are tremendous value on #TheCircle Season 4. @CircleNetflix,['TheCircle'],set()
2653,NEGATIVE,PazzoBelloVita,I don’t know why I’m so against Kay on this show 😂 #THECIRCLE,['THECIRCLE'],set()
2654,NEGATIVE,Queen_Kee11,The fact that I knew all the answers to the Spice Girls trivia lol #TheCircle #Superfan,"['TheCircle', 'Superfan']",{'playereight'}
2655,POSITIVE,wolfgirl_82,All I know is my boi Frank better be in that final cause he is so much fun to watch.  #THECIRCLE https://t.co/0jfotFZZHG,['THECIRCLE'],{'playeron'}
2656,POSITIVE,SuburbanDad01,#THECIRCLE #TheCircleNetflix #thecircleseason4 I KNOW THATS RIGHT,"['THECIRCLE', 'TheCircleNetflix', 'thecircleseason4']",set()
2657,NEGATIVE,SuburbanDad01,#TheCircleNetflix #THECIRCLE #thecircleseason4 Episode 4: Nathan aka Alex giving me this vibes on his BRO chat https://t.co/jiDwC3ghrf,"['TheCircleNetflix', 'THECIRCLE', 'thecircleseason4']",{'playerten'}
2658,POSITIVE,JealousLtd,Not sure how the #THECIRCLE got the @spicegirls but it's great tv. Also Paul's daughter chatting up Carol's son was weird.,['THECIRCLE'],set()
2659,NEGATIVE,TvKhaleesi,This season of #TheCircle has a good cast. If I was Paul I would wonder if the money I am spending on college is being used well by his daughter. She is so stupid😭. And Spice Girls!!! They were really good in how they stirred the pot and pointed fingers  at others,['TheCircle'],"{'playereight', 'playerseven'}"
2660,NEGATIVE,sophstar007,Everytime I watch #TheCircle I always think about what photos I would let them use and then I’m like I’m so ugly and I’ve gained weight so those poor people would be catfished without me being someone else dnsjnfjsndjdjdj.,['TheCircle'],set()
2661,POSITIVE,AshqelynnAyers,Loving this season. #thecircle,['thecircle'],set()
2662,NEGATIVE,ForcesNews,"A @BritishArmy Corporal is hiking 185km with a medicine ball to signify the ""invisible burden"" of mental health.

@NatalyaPlatono, who won #TheCircle, is taking on the challenge to raise money for @CombatStress and @Soldierscharity. 

More here👇
https://t.co/QhSnsZDR5H",['TheCircle'],set()
2663,NEGATIVE,listening_loud,Interesting that Michelle chose to visit Ava…personally I would’ve chosen someone else so someone else would know that I was the actual Michelle…idk I would want to choose pure chaos before being kicked out of the game lol #TheCircleNetflix #THECIRCLE,"['TheCircleNetflix', 'THECIRCLE']",set()
2664,NEGATIVE,kissmeat6,Nota: Prefiero los jugadores que no hacen catfish en #TheCircle e intentan mostrarse tal y como son. 😇 | 90’s party is my religion. 🙏🏼 | “But who do you think we are? Catch us if you can!”. 😍 https://t.co/49k9QpAGUR,['TheCircle'],set()
2665,POSITIVE,Alba_MesCuDi,Yu ling is so cute #TheCircle,['TheCircle'],{'playertwo'}
2666,POSITIVE,Abbieferguson1,I love that #thecircle shake it up each time,['thecircle'],set()
2667,NEGATIVE,JayDaSmiff,GET INTO A SPICE GIRL CONVERSATION WITH THE SPICE GIRLS! #spicegirls #TheCircleNetflix #Thecircle https://t.co/O7P2E5ht0Z,"['spicegirls', 'TheCircleNetflix', 'Thecircle']",{'playereight'}
2668,POSITIVE,leunam_sotam,This season of @CircleNetflix is so good so far. And having Baby and Scary spice is an extra umph! #TheCircle,['TheCircle'],{'playereight'}
2669,POSITIVE,silkejasso,They Spice Girls being in the new season of #TheCircle is the best thing Netflix has ever done.,['TheCircle'],{'playereight'}
2670,NEGATIVE,JayDaSmiff,"I’m a fan of Rachel, I’m not sure about Alex yet, but don’t think anything bad. This cast so far 👌🏾👌🏾👌🏾#TheCircleNetflix #TheCircle","['TheCircleNetflix', 'TheCircle']",{'playerten'}
2671,NEGATIVE,Kimberlykokourt,"Counting Down To May 11, 2022 For #TheCircle To Resume The Show On @netflix #Netflix @CircleNetflix https://t.co/zdNGkofry0","['TheCircle', 'Netflix']",set()
2672,POSITIVE,xoxojustine7,Yu Ling is SOOO pretty 😍#THECIRCLE,['THECIRCLE'],{'playertwo'}
2673,POSITIVE,ladyjazmana,The Spice Girls are next level good at playing the game! Television gold *send message* #THECIRCLE,['THECIRCLE'],{'playereight'}
2674,POSITIVE,missxromy2,Spice girls in The Circle 😱 #TheCircleNetflix #THECIRCLE,"['TheCircleNetflix', 'THECIRCLE']",{'playereight'}
2675,NEGATIVE,lixo_feio,passando mal com a baby spice e a scary spice no #thecircle,['thecircle'],{'playereight'}
2676,POSITIVE,AshqelynnAyers,The Spice Girls are too cute! #thecircle I will forever love Mel B.,['thecircle'],{'playereight'}
2677,NEGATIVE,itsMandaPanda,"Watching #THECIRCLE and this girl doesn’t know who Rod Stewart is. She thought he was a made up musician 🤦🏻‍♀️ She also didn’t know what the word memoir meant either though, so 💁🏻‍♀️😂",['THECIRCLE'],{'playereight'}
2678,NEGATIVE,Ronnie21534313,Can anyone refresh my memory as to what happened between Terilisha and Savannah on Season 2 of The Circle? And what Courtney’s place was in all of that? #TheCircleNetflix #TheCircle https://t.co/ligemAwY9W,"['TheCircleNetflix', 'TheCircle']",set()
2679,NEGATIVE,JONCOOK1979,#TheCircleNetflix Alyssa going in as herself but her photos are so heavily filtered she may as well be a catfish. #Netflix #thecircle,"['TheCircleNetflix', 'Netflix', 'thecircle']",{'playerf'}
2680,NEGATIVE,lyss_bomb,Omgggggg Trevor making an appearance on the #TheCircle yaaaass @Leesa_Unique,['TheCircle'],set()
2681,POSITIVE,itsnae_bitxh,"There’s a new #thecircle &amp; im sooooo excited!! 
My Sunday is set!",['thecircle'],set()
2682,NEGATIVE,BlindedByLust,Frank is giving me lifeeee this season. Please I need more of him 😭 #TheCircle,['TheCircle'],{'playeron'}
2683,POSITIVE,BritneyNoSpears,The #SpiceGirls being on #TheCircle is such a treat.,"['SpiceGirls', 'TheCircle']",set()
2684,NEGATIVE,MusicEternal1,"Music Video:
The Circle by Matt Steady

https://t.co/jjeTuReIP4

#Musiceternal #MattSteady #TheCircle #Closer #RockMusic #FolkRock #BluesRock #UnitedKingdom
@MattStoicSteady https://t.co/RsCEtwJ3Bi","['Musiceternal', 'MattSteady', 'TheCircle', 'Closer', 'RockMusic', 'FolkRock', 'BluesRock', 'UnitedKingdom']",set()
